field_id,field_custom_id,field_type,field_custom,field_name,context_id,context_name,context_all_projects,context_project_ids,context_project_keys,context_all_issue_types,context_issue_type_ids,context_issue_type_names,option_id,option_value,option_parent_id,option_parent_value,visibility_note
customfield_10007,10007,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change reason,10107,Default Configuration Scheme for Change reason,False,,,False,,,10012,Upgrade,,,
customfield_10007,10007,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change reason,10107,Default Configuration Scheme for Change reason,False,,,False,,,10013,Maintenance,,,
customfield_10007,10007,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change reason,10107,Default Configuration Scheme for Change reason,False,,,False,,,10014,New functionality,,,
customfield_10007,10007,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change reason,10107,Default Configuration Scheme for Change reason,False,,,False,,,10015,Other,,,
customfield_10008,10008,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,Actual start,10108,Default Configuration Scheme for Actual start,False,,,False,,,,,,,
customfield_10009,10009,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,Actual end,10109,Default Configuration Scheme for Actual end,False,,,False,,,,,,,
customfield_10000,10000,any,com.atlassian.jira.plugins.jira-development-integration-plugin:devsummarycf,Development,10100,Default Configuration Scheme for development,False,,,False,,,,,,,
customfield_10001,10001,team,com.atlassian.jira.plugin.system.customfieldtypes:atlassian-team,Team,10101,Default Configuration Scheme for Team,False,,,False,,,,,,,
customfield_10002,10002,array,com.atlassian.servicedesk:sd-customer-organizations,Organizations,10102,Default Configuration Scheme for Organizations,False,,,False,,,,,,,
customfield_10003,10003,array,com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker,Approvers,10103,Default Configuration Scheme for Approvers,False,,,False,,,,,,,
customfield_10004,10004,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Impact,10104,Default Configuration Scheme for Impact,False,,,False,,,10000,Extensive / Widespread,,,
customfield_10004,10004,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Impact,10104,Default Configuration Scheme for Impact,False,,,False,,,10001,Significant / Large,,,
customfield_10004,10004,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Impact,10104,Default Configuration Scheme for Impact,False,,,False,,,10002,Moderate / Limited,,,
customfield_10004,10004,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Impact,10104,Default Configuration Scheme for Impact,False,,,False,,,10003,Minor / Localized,,,
